"","t","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","vix.open","vix.high","vix.low","vix.close","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"413",413,2012-05-11,32.49,33.44,32.16,32.25,32.25,1221300,0,1,19.93,19.94,18.62,19.89,34.0355,32.9782,-0.5971,-0.0427,-0.5544,33.6242,45.5828,50.3063,9.1211,-74.3044,95,46.6667,30.5909,34.0355,37.4801,4820298.1642,12096900
"414",414,2012-05-14,31.92,32.13,30.05,30.06,30.06,1380900,0,1,21.47,21.87,20.94,21.87,33.9668,32.8825,-0.7275,-0.1384,-0.5891,41.1593,44.9466,47.8227,9.0331,-164.3739,93.3333,45,30.3754,33.9668,37.5583,3452676.0489,10716000
"415",415,2012-05-15,30.26,30.96,29.22,29.43,29.43,1585700,0,1,21.43,22.7,20.76,21.97,33.8745,32.7693,-0.8716,-0.226,-0.6456,38.074,23.6926,47.1418,9.0585,-198.3217,100,43.3333,30.1102,33.8745,37.6388,2249731.2213,9130300
"416",416,2012-05-16,29.58,30.18,28.88,29.18,29.18,1257100,0,1,21.54,22.69,20.83,22.27,33.7858,32.6516,-0.9945,-0.2792,-0.7154,25.3256,7.3376,46.8725,9.1277,-208.6031,100,41.6667,29.8385,33.7858,37.7332,1572831.2213,7873200
"417",417,2012-05-17,29.3,29.79,28.24,28.57,28.57,1149000,0,1,21.99,24.51,21.87,24.49,33.6917,32.5178,-1.1282,-0.3302,-0.7979,12.0506,5.1216,46.2174,9.2775,-219.1226,100,40,29.5267,33.6917,37.8566,913082.8342,6724200
"418",418,2012-05-18,28.37,28.46,26.83,27.56,27.56,1616500,0,1,23.27,25.14,23.07,25.1,33.5755,32.3552,-1.3006,-0.4021,-0.8985,6.9633,8.4307,45.1547,9.5952,-256.4911,100,38.3333,29.1311,33.5755,38.0199,744490.8096,5107700
"419",419,2012-05-21,27.58,29.26,27.12,28.77,28.77,1475200,0,1,24.88,24.88,22.01,22.01,33.4925,32.2377,-1.3243,-0.3407,-0.9836,11.9722,22.3644,46.6492,9.7675,-209.8951,98.3333,36.6667,28.8814,33.4925,38.1036,1544131.9311,6582900
"420",420,2012-05-22,30.1,31.34,30,30.79,30.79,2366200,0,1,21.76,23.19,19.98,22.48,33.4453,32.1902,-1.1667,-0.1464,-1.0202,26.7708,49.5173,49.0082,9.6132,-110.2897,96.6667,35,28.7828,33.4453,38.1079,1967928.9461,8949100
"421",421,2012-05-23,30.56,31.05,29.5,31.02,31.02,1220400,0,1,23.32,24.62,21.99,22.33,33.3988,32.1519,-1.0115,0.007,-1.0185,49.2586,75.8943,49.268,9.5287,-112.6741,95,33.3333,28.6963,33.3988,38.1014,3141087.6557,10169500
"422",422,2012-05-24,31.25,31.25,29.69,30.32,30.32,1075600,0,1,22,23.22,21.48,21.54,33.3473,32.0918,-0.9343,0.0674,-1.0017,70.4809,86.031,48.5033,9.417,-111.74,93.3333,31.6667,28.5792,33.3473,38.1155,2934241.5019,9093900
"423",423,2012-05-25,30.16,30.4076,29.2,29.81,29.81,757000,0,1,22.05,22.29,21.3,21.76,33.2707,32.017,-0.9038,0.0783,-0.9821,79.9787,78.0108,47.9518,9.3742,-129.1131,91.6667,30,28.426,33.2707,38.1153,2942014.6056,8336900
"424",424,2012-05-29,30.01,31.93,30.01,31.69,31.69,1650000,0,1,21.7,22.47,20.99,21.03,33.2315,32.0063,-0.7197,0.2099,-0.9296,80.4958,77.4455,50.0795,9.1068,-74.8811,90,28.3333,28.3744,33.2315,38.0886,4179514.6056,9986900
"425",425,2012-05-30,31.08,31.42,30.24,30.41,30.41,1307200,0,1,22.68,24.14,22.66,24.14,33.1755,31.9539,-0.6693,0.2083,-0.8775,73.9604,66.4251,48.701,8.8484,-90.3364,88.3333,26.6667,28.2673,33.1755,38.0837,3248965.453,8679700
"426",426,2012-05-31,30.07,30.29,28.75,29.5,29.5,1118700,0,1,23.83,25.46,22.78,24.06,33.1153,31.8735,-0.6948,0.1462,-0.841,65.6364,53.0387,47.7508,8.8012,-126.4391,86.6667,25,28.1177,33.1153,38.113,3219908.3102,7561000
"427",427,2012-06-01,28.53,29.16,27.76,28.15,28.15,885800,0,1,25.87,26.71,23.94,26.66,33.0325,31.7514,-0.8145,0.0212,-0.8357,48.4057,25.7533,46.3854,8.8808,-157.3306,85,23.3333,27.8757,33.0325,38.1893,2827625.453,6675200
"428",428,2012-06-04,28.03,28.41,27.11,27.88,27.88,1030900,0,1,26.35,27.73,25.72,26.12,32.946,31.6245,-0.9206,-0.0679,-0.8527,31.6987,16.3042,46.1172,9.0373,-165.7946,83.3333,21.6667,27.6232,32.946,38.2688,3017945.453,5644300
"429",429,2012-06-05,27.84,28.39,27.56,27.91,27.91,630900,0,1,25.9,25.9,24.5,24.68,32.8322,31.5027,-0.9908,-0.1105,-0.8803,18.8957,14.6297,46.1524,9.1886,-153.0428,81.6667,20,27.3772,32.8322,38.2872,2919129.7904,6275200
"430",430,2012-06-06,28.2,29.45,28.14,29.22,29.22,909900,0,1,23.76,23.89,21.8,22.16,32.719,31.4278,-0.9301,-0.0398,-0.8903,21.5212,33.6296,47.6697,9.1654,-117.8541,80,18.3333,27.2507,32.719,38.1873,3509522.9201,7185100
"431",431,2012-06-07,29.81,29.87,28.85,28.93,28.93,492100,0,1,21,22.48,20.74,21.72,32.5997,31.3459,-0.895,-0.0038,-0.8912,32.8482,50.2852,47.3692,9.0778,-105.2927,78.3333,16.6667,27.1183,32.5997,38.081,3094615.077,6693000
"432",432,2012-06-08,28.86,30.19,28.1475,30.08,30.08,881100,0,1,22.54,23.1,20.29,21.23,32.5128,31.3044,-0.7656,0.1005,-0.8661,53.3853,76.2409,48.6739,9.0873,-93.7409,76.6667,15,27.0397,32.5128,37.986,3880810.793,7574100
"433",433,2012-06-11,30.31,31,28.9584,29.12,29.12,636000,0,1,19.87,23.56,19.63,23.56,32.4148,31.2328,-0.732,0.1072,-0.8393,65.2553,69.2398,47.6707,8.9696,-83.8695,75,13.3333,26.9128,32.4148,37.9168,3345494.1786,6938100
"434",434,2012-06-12,29.23,29.84,28.81,29.66,29.66,569000,0,1,23.15,23.9,22.09,22.09,32.3205,31.1812,-0.6543,0.148,-0.8023,70.1518,64.9748,48.2805,8.8765,-88.2957,73.3333,11.6667,26.8269,32.3205,37.8141,3715620.3922,7507100
"435",435,2012-06-13,29.55,30.64,29.47,29.77,29.77,844100,0,1,22.93,24.93,22.66,24.27,32.2337,31.135,-0.5772,0.18,-0.7573,62.0021,51.7919,48.405,8.6617,-69.9988,71.6667,10,26.7463,32.2337,37.7211,3304392.1871,8351200
"436",436,2012-06-14,30.18,30.65,28.62,29.39,29.39,872200,0,1,24.19,24.81,21.55,21.68,32.1408,31.0778,-0.5406,0.1734,-0.7139,55.9872,51.195,47.9989,8.5754,-79.3434,70,8.3333,26.6526,32.1408,37.6291,3093861.1526,7479000
"437",437,2012-06-15,29.39,29.95,28.81,29.91,29.91,646800,0,1,22.47,23.09,20.61,21.11,32.0535,31.0395,-0.4642,0.1998,-0.664,51.5112,51.5466,48.599,8.4919,-76.4064,68.3333,6.6667,26.5929,32.0535,37.5141,3695271.6789,8125800
"438",438,2012-06-18,29.94,32.33,29.5,31.84,31.84,1256800,0,1,21.76,21.98,18.24,18.32,32.0108,31.0657,-0.2451,0.3351,-0.5802,54.753,61.5175,50.7444,8.3619,-25.0084,66.6667,5,26.5843,32.0108,37.4374,4516854.7178,9382600
"439",439,2012-06-19,32.02,32.6594,31.5,32.09,32.09,911100,0,1,17.66,18.62,17.36,18.38,31.9777,31.0993,-0.0507,0.4236,-0.4743,62.8989,75.6327,51.0138,8.2814,2.0494,65,3.3333,26.5779,31.9777,37.3775,4533042.9703,10293700
"440",440,2012-06-20,33.5,34.5,33.21,33.78,33.78,3422400,0,1,17.96,20.05,17.09,17.24,31.9173,31.1872,0.237,0.569,-0.332,74.6558,86.8171,52.7885,8.4413,58.6401,63.3333,1.6667,26.6829,31.9173,37.1518,4135089.482,13716100
"441",441,2012-06-21,34.26,34.28,31.84,32.19,32.19,1891900,0,1,16.89,20.48,16.77,20.08,31.8215,31.2201,0.3328,0.5319,-0.1991,80.0456,77.6871,51.02,8.3879,29.4198,61.6667,0,26.8265,31.8215,36.8165,2785947.6787,11824200
"442",442,2012-06-22,32.6,33.98,32.46,33.785,33.785,3046600,0,1,18.65,19.37,17.9,18.11,31.7538,31.3042,0.5314,0.5844,-0.053,80.7078,77.6192,52.6386,8.3363,54.6204,60,6.6667,26.9824,31.7538,36.5251,5050854.2576,14870800
"443",443,2012-06-25,33.94,34.12,32.75,33.11,33.11,1498500,0,1,20.47,21.36,19.89,20.38,31.6834,31.3634,0.627,0.544,0.083,73.8542,66.2564,51.9005,8.3051,56.0813,58.3333,5,27.1232,31.6834,36.2436,4339887.1043,13372300
"444",444,2012-06-26,32.05,32.35,31.39,31.61,31.61,2613900,0,1,20.01,20.57,19.42,19.72,31.5896,31.3715,0.5752,0.3937,0.1815,64.2297,48.8135,50.3062,8.0714,5.3,56.6667,3.3333,27.265,31.5896,35.9142,2924024.6043,10758400
"445",445,2012-06-27,31.9,32.445,31.57,31.96,31.96,1047200,0,1,19.55,20.12,19.38,19.45,31.5126,31.3908,0.5559,0.2996,0.2564,47.2971,26.8213,50.6658,7.859,16.7478,55,1.6667,27.3862,31.5126,35.639,2810328.6043,11805600
"446",446,2012-06-28,31.9,32.11,30.62,31.41,31.41,914100,0,1,20.33,21.19,19.6,19.71,31.4026,31.3914,0.4906,0.1874,0.3032,30.697,16.4562,50.0866,7.678,-2.827,53.3333,0,27.6389,31.4026,35.1662,2865542.6983,10891500
"447",447,2012-06-29,32.8,32.8,31,31.29,31.29,1125800,0,1,17.52,19.71,16.87,17.08,31.3408,31.3881,0.4243,0.0969,0.3274,21.2522,20.4792,49.9599,7.4421,12.6897,51.6667,0,27.6955,31.3408,34.986,2102500.4761,9765700
"448",448,2012-07-02,31.35,31.7995,30.19,30.4,30.4,1315600,0,1,17.62,18.19,16.66,16.8,31.2728,31.3557,0.2965,-0.0247,0.3212,17.8407,16.5868,49.0244,7.2903,-22.8405,50,0,27.7131,31.2728,34.8324,1130207.093,8450100
"449",449,2012-07-03,30.6,31,30.4,30.66,30.66,947000,0,1,16.67,16.92,16.27,16.66,31.2313,31.3329,0.2137,-0.086,0.2997,17.3771,15.0655,49.3064,7.1436,-25.9442,48.3333,38.3333,27.7021,31.2313,34.7604,1003940.4264,9397100
"450",450,2012-07-05,30.81,31.67,30.8,31.23,31.23,1253800,0,1,17.61,18.22,17.18,17.5,31.2108,31.3295,0.1919,-0.0863,0.2782,17.873,21.9668,49.924,6.9114,-0.9207,46.6667,36.6667,27.6962,31.2108,34.7253,989528.9321,10650900
"451",451,2012-07-06,30.99,31.73,30.8,30.99,30.99,784500,0,1,18.2,18.25,16.95,17.1,31.1758,31.3184,0.1535,-0.0997,0.2532,22.1781,29.5019,49.665,6.6961,-2.4248,45,35,27.6951,31.1758,34.6564,525577.3192,9866400
"452",452,2012-07-09,30.94,31.83,30.67,31.49,31.49,910500,0,1,18.17,18.32,17.73,17.98,31.1433,31.324,0.1615,-0.0734,0.2349,33.7969,49.9221,50.2124,6.4783,6.5333,43.3333,33.3333,27.7117,31.1433,34.5748,902335.9399,10776900
"453",453,2012-07-10,31.54,32.48,30.89,31.27,31.27,758400,0,1,17.51,19.19,17.29,18.72,31.1046,31.3222,0.1484,-0.0692,0.2176,43.3354,50.5822,49.9692,6.3596,18.4525,41.6667,31.6667,27.7324,31.1046,34.4768,506441.6003,10018500
"454",454,2012-07-11,31.57,31.68,31.01,31.51,31.51,638600,0,1,17.98,19.17,17.84,17.95,31.0923,31.3284,0.1556,-0.0496,0.2052,52.113,55.8347,50.2366,6.2448,12.6979,40,30,27.7315,31.0923,34.453,820975.9286,10657100
"455",455,2012-07-12,31.29,33.01,30.8,32.7,32.7,1125700,0,1,18.82,19.51,17.75,18.33,31.0999,31.3733,0.2544,0.0394,0.2151,54.9154,58.3293,51.5423,6.3379,49.992,38.3333,28.3333,27.7267,31.0999,34.4732,1630868.6888,11782800
"456",456,2012-07-13,32.97,34.4,32.83,34.25,34.25,1304800,0,1,17.78,17.82,16.36,16.74,31.1264,31.4677,0.4526,0.19,0.2626,63.5146,76.3798,53.17,6.6215,126.3827,36.6667,26.6667,27.6804,31.1264,34.5725,2686343.8481,13087600
"457",457,2012-07-16,34.32,36,33.9,35.96,35.96,1744000,0,1,17.31,17.32,16.46,17.11,31.1731,31.6149,0.7391,0.3812,0.3579,76.2321,93.9872,54.8706,7.0961,189.0552,35,100,27.547,31.1731,34.7992,4363905.7528,14831600
"458",458,2012-07-17,35,35.21,32.38,33.35,33.35,2569300,0,1,16.72,17.46,16.09,16.48,31.1763,31.6718,0.7469,0.3112,0.4357,83.9276,81.4159,51.9427,7.2934,112.5761,33.3333,98.3333,27.5429,31.1763,34.8096,3555892.6786,12262300
"459",459,2012-07-18,31.42,33.67,31.06,32.15,32.15,2881900,0,1,16.81,16.81,15.69,16.16,31.1798,31.6875,0.6488,0.1705,0.4783,77.8267,58.0769,50.6783,7.2765,50.206,31.6667,96.6667,27.5431,31.1798,34.8164,3081096.8932,9380400
"460",460,2012-07-19,32.72,33.15,32.04,32.27,32.27,1435900,0,1,16.06,16.7,15.45,15.45,31.1873,31.7066,0.5741,0.0767,0.4975,57.5525,33.1646,50.8001,7.2602,57.9571,30,95,27.5435,31.1873,34.831,2240254.5508,10816300
"461",461,2012-07-20,32.07,32.25,31.25,31.79,31.79,1568500,0,1,16.65,17.05,15.97,16.27,31.1686,31.7093,0.4708,-0.0213,0.4921,37.6619,21.7443,50.2949,7.1231,25.9308,28.3333,93.3333,27.5489,31.1686,34.7883,2365734.5508,9247800
"462",462,2012-07-23,31.05,31.3,30.62,30.66,30.66,1386800,0,1,20.41,20.49,18.34,18.62,31.1214,31.6749,0.2943,-0.1583,0.4526,22.7633,13.3809,49.1253,6.8965,-14.0133,26.6667,91.6667,27.5505,31.1214,34.6923,1142087.492,7861000
"463",463,2012-07-24,30.66,31.04,29.62,29.84,29.84,1500300,0,1,18.38,21,18.37,20.47,31.0631,31.6148,0.0873,-0.2922,0.3795,14.0507,7.027,48.2964,6.7995,-44.6251,25,90,27.5249,31.0631,34.6013,106669.1822,6360700
"464",464,2012-07-25,29.92,29.98,28.75,28.95,28.95,2842200,0,1,19.79,20.67,18.99,19.34,30.9934,31.5274,-0.1469,-0.4211,0.2742,8.0081,3.6163,47.4135,6.825,-86.2811,23.3333,88.3333,27.4561,30.9934,34.5307,-1811238.1349,3518500
"465",465,2012-07-26,29.9,30,27.64,28.13,28.13,2262300,0,1,17.68,18.47,17.07,17.53,30.8993,31.416,-0.3941,-0.5347,0.1405,5.8374,6.8689,46.615,6.994,-112.9774,21.6667,86.6667,27.3629,30.8993,34.4356,-3134108.4739,1256200
"466",466,2012-07-27,28.71,29.66,28.1,29.51,29.51,1673000,0,1,17.11,17.3,16.52,16.7,30.8254,31.3535,-0.4733,-0.491,0.0178,10.8581,22.0891,48.1106,7.1573,-86.7442,20,85,27.3618,30.8254,34.289,-1782839.2431,2929200
"467",467,2012-07-30,29.51,30.248,27.21,27.35,27.35,2065200,0,1,17.55,18.08,17.23,18.03,30.7403,31.2223,-0.7022,-0.576,-0.1262,16.9168,21.7924,46.0567,7.4287,-122.4287,18.3333,83.3333,27.1914,30.7403,34.2891,-3657698.2293,864000
"468",468,2012-07-31,27.54,27.97,27.35,27.42,27.42,1575100,0,1,18.4,19.09,18.26,18.93,30.6668,31.0976,-0.8679,-0.5934,-0.2745,21.4784,20.5536,46.1325,7.6911,-148.8098,16.6667,81.6667,27.0296,30.6668,34.3039,-4877130.4874,2439100
"469",469,2012-08-01,27.99,27.99,26.03,26.25,26.25,1592300,0,1,18.8,19.18,18.2,18.96,30.5631,30.9387,-1.0812,-0.6453,-0.4359,15.8691,5.2612,45.0565,8.1079,-177.8567,100,80,26.7856,30.5631,34.3406,-6111975.3853,846800
"470",470,2012-08-02,26.84,26.85,25.52,26.1,26.1,1305100,0,1,19.05,19.25,17.56,17.57,30.4949,30.78,-1.248,-0.6497,-0.5983,11.3155,8.1318,44.9199,8.5709,-191.9147,100,78.3333,26.5491,30.4949,34.4407,-6278792.6786,-458300
"471",471,2012-08-03,26.9,27.55,26.74,27.27,27.27,1209500,0,1,16.05,16.45,15.64,15.64,30.4484,30.6649,-1.2711,-0.5382,-0.7329,10.5195,18.1655,46.2134,8.8921,-140.0716,98.3333,76.6667,26.4183,30.4484,34.4785,-5905490.2094,751200
"472",472,2012-08-06,27.55,28.7,27.55,28.27,28.27,1528200,0,1,15.85,16.27,15.82,15.95,30.3703,30.5864,-1.1949,-0.3697,-0.8253,23.8501,45.253,47.2893,9.0051,-95.1961,96.6667,75,26.3562,30.3703,34.3843,-5520118.0355,2279400
"473",473,2012-08-07,28.77,30.9,28.5,30.25,30.25,2387200,0,1,15.55,16.03,15.48,15.99,30.3369,30.5754,-0.9637,-0.1107,-0.853,44.6295,70.4699,49.3301,8.7763,-21.3339,95,73.3333,26.3527,30.3369,34.3211,-4425984.7022,4666600
"474",474,2012-08-08,29.9,30,28.59,29.09,29.09,1308900,0,1,16.46,16.47,15.27,15.32,30.3208,30.5267,-0.8641,-0.0089,-0.8552,65.3246,80.251,48.2178,8.5552,-48.0675,93.3333,71.6667,26.3243,30.3208,34.3172,-4806586.8298,3357700
"475",475,2012-08-09,29.52,30,29.1301,29.41,29.41,672600,0,1,15.39,15.67,15.28,15.28,30.3204,30.4901,-0.7507,0.0836,-0.8343,74.5134,72.8193,48.5433,8.3414,-35.458,91.6667,70,26.3237,30.3204,34.3171,-5046353.7686,4030300
"476",476,2012-08-10,29.31,29.94,29.31,29.94,29.94,707400,0,1,15.34,15.5,14.73,14.74,30.3331,30.472,-0.611,0.1786,-0.7896,73.4549,67.2943,49.0824,8.1348,-26.5719,90,68.3333,26.3461,30.3331,34.3201,-4338953.7686,4737700
"477",477,2012-08-13,29.69,31.3,29.101,31.17,31.17,870100,0,1,14.09,14.67,13.67,13.7,30.3764,30.4949,-0.3964,0.3145,-0.711,72.3582,76.961,50.3109,7.9968,6.1592,88.3333,66.6667,26.4106,30.3764,34.3423,-3571730.5307,5607800
"478",478,2012-08-14,30.75,31.17,29.26,29.42,29.42,793400,0,1,13.91,15.06,13.91,14.85,30.4074,30.4597,-0.3634,0.278,-0.6415,70.0104,65.7759,48.6138,7.8633,-20.8727,86.6667,65,26.5015,30.4074,34.3133,-4232204.8763,4814400
"479",479,2012-08-15,29.39,29.7,28.81,29.4,29.4,525400,0,1,14.82,14.98,14.36,14.63,30.4179,30.4249,-0.335,0.2451,-0.5802,64.21,49.8931,48.5948,7.6622,-50.7832,85,63.3333,26.5263,30.4179,34.3095,-4061007.1235,4289000
"480",480,2012-08-16,29.53,30.39,29.5,30.3,30.3,669000,0,1,14.88,15.15,14.28,14.29,30.4098,30.4208,-0.2372,0.2744,-0.5116,51.2409,38.0538,49.5004,7.5723,-16.1948,83.3333,61.6667,26.5192,30.4098,34.3003,-3527310.4943,4958000
"481",481,2012-08-17,30.29,30.71,29.98,30.01,30.01,508200,0,1,14.23,14.3,13.3,13.45,30.3929,30.4074,-0.1809,0.2645,-0.4455,43.952,43.909,49.2163,7.5334,-8.3521,81.6667,60,26.5044,30.3929,34.2815,-3993740.6312,4449800
"482",482,2012-08-20,30.15,30.39,29.1,29.51,29.51,1179100,0,1,14.11,14.78,13.38,14.02,30.3794,30.3779,-0.1747,0.2166,-0.3913,42.6202,45.8977,48.7259,7.3495,-32.9072,80,58.3333,26.4843,30.3794,34.2745,-4423335.2049,3270700
"483",483,2012-08-21,29.58,30,29,29.11,29.11,761600,0,1,14.1,15.44,13.46,15.02,30.3678,30.3364,-0.1997,0.1533,-0.353,40.3404,31.2144,48.3341,7.1554,-45.56,78.3333,56.6667,26.4617,30.3678,34.2738,-5017383.2049,2509100
"484",484,2012-08-22,29.01,30.04,29.01,29.95,29.95,775500,0,1,15.32,15.52,14.75,15.11,30.3388,30.3237,-0.1501,0.1623,-0.3124,36.9269,33.6687,49.2064,6.9743,-31.3802,76.6667,55,26.4466,30.3388,34.2309,-4377407.4767,3284600
"485",485,2012-08-23,30,30.85,29.65,30.73,30.73,1471000,0,1,15,16.45,15,15.96,30.3441,30.337,-0.0472,0.2122,-0.2594,39.9453,54.9528,50.0034,6.9304,1.7962,75,53.3333,26.4507,30.3441,34.2375,-3200607.4767,4755600
"486",486,2012-08-24,30.06,30.24,29.41,29.5,29.5,1429400,0,1,15.99,16,15.18,15.18,30.3441,30.3096,-0.0642,0.1561,-0.2203,49.1067,58.6987,48.776,6.8452,-29.2656,73.3333,51.6667,26.4507,30.3441,34.2375,-4320017.1153,3326200
"487",487,2012-08-27,29.57,29.7,28.17,28.32,28.32,1350400,0,1,16.15,16.38,15.75,16.35,30.3469,30.2443,-0.1709,0.0395,-0.2104,51.8991,42.0459,47.6352,6.683,-73.8131,71.6667,50,26.4597,30.3469,34.2342,-5405632.8016,1975800
"488",488,2012-08-28,28.4,29.375,28,28.69,28.69,1402700,0,1,16.32,16.92,16.01,16.49,30.3604,30.1934,-0.2231,-0.0101,-0.213,39.8965,18.9449,48.0228,6.5541,-77.0296,70,48.3333,26.502,30.3604,34.2188,-5400532.0743,3378500
"489",489,2012-08-29,28.49,28.64,28.02,28.41,28.41,838900,0,1,16.61,17.06,16.5,17.06,30.3688,30.1349,-0.2837,-0.0566,-0.2271,25.2406,14.7312,47.7508,6.4294,-92.691,68.3333,46.6667,26.5294,30.3688,34.2081,-5184041.7517,2539600
"490",490,2012-08-30,28.6,28.74,28.1,28.41,28.41,656400,0,1,17.48,18.05,17.44,17.83,30.3553,30.0784,-0.328,-0.0807,-0.2473,17.5476,18.9667,47.7508,6.2906,-89.1045,66.6667,45,26.4942,30.3553,34.2163,-5204554.2517,2539600
"491",491,2012-08-31,28.61,28.84,28.2,28.52,28.52,539800,0,1,17.25,18.04,16.56,17.47,30.3484,30.0273,-0.3502,-0.0823,-0.2679,18.2635,21.0926,47.8707,6.1376,-83.3306,65,43.3333,26.4759,30.3484,34.2209,-5204554.2517,3079400
"492",492,2012-09-04,28.52,28.99,27.9,28.14,28.14,752500,0,1,18.65,18.96,17.85,17.98,30.3161,29.9654,-0.3939,-0.1008,-0.2931,20.5934,21.721,47.4877,6.0449,-89.3834,63.3333,41.6667,26.403,30.3161,34.2292,-5625678.1049,2326900
"493",493,2012-09-05,28.01,28.5,27.81,27.94,27.94,639300,0,1,17.38,17.84,16.99,17.74,30.2964,29.899,-0.4396,-0.1172,-0.3224,20.7019,19.2921,47.2851,5.9719,-98.1359,61.6667,40,26.3478,30.2964,34.2451,-6024082.4527,1687600
"494",494,2012-09-06,28,28.9,27.9,28.55,28.55,841700,0,1,17.3,17.3,15.6,15.6,30.2779,29.8548,-0.4217,-0.0795,-0.3423,23.671,30,47.9734,5.8207,-80.657,60,38.3333,26.3072,30.2779,34.2487,-5771572.4527,2529300
"495",495,2012-09-07,28.55,29.57,28.5,29.35,29.35,953200,0,1,15.6,15.6,14.33,14.38,30.2709,29.8382,-0.3391,0.0025,-0.3416,34.345,53.7429,48.8638,5.7102,-49.8832,58.3333,36.6667,26.2951,30.2709,34.2467,-5210342.5462,3482500
"496",496,2012-09-10,29.2,29.35,27.295,27.37,27.37,1483300,0,1,14.27,16.28,13.97,16.28,30.2373,29.7573,-0.4285,-0.0695,-0.359,44.9708,51.1695,46.8458,5.6666,-95.9558,56.6667,35,26.1985,30.2373,34.276,-6585372.4732,1999200
"497",497,2012-09-11,27.76,28.16,27.4,27.8,27.8,1014900,0,1,16.11,16.41,15.46,16.41,30.2021,29.6931,-0.4593,-0.0802,-0.3791,47.5258,37.6648,47.3262,5.6244,-102.2066,55,33.3333,26.1161,30.2021,34.2881,-6531956.6837,3014100
"498",498,2012-09-12,27.9,28.58,27.8,28.28,28.28,1145200,0,1,15.59,16.31,15.43,15.8,30.1427,29.6468,-0.4399,-0.0487,-0.3912,37.2549,22.9304,47.8612,5.4984,-81.534,53.3333,31.6667,26.0502,30.1427,34.2353,-6267679.7607,4159300
"499",499,2012-09-13,28.57,29.5,28.48,29.48,29.48,1484700,0,1,15.6,16.54,13.91,14.05,30.0993,29.6413,-0.324,0.0538,-0.3778,38.1471,53.8462,49.1736,5.4324,-41.5893,51.6667,30,26.035,30.0993,34.1635,-4841203.2901,5644000
"500",500,2012-09-14,30,30.65,29.65,30.39,30.39,1536600,0,1,13.82,14.71,13.51,14.51,30.0428,29.6659,-0.1569,0.1767,-0.3336,51.3245,77.197,50.1414,5.5735,6.0664,50,28.3333,26.0921,30.0428,33.9934,-4103635.2901,7180600
"501",501,2012-09-17,32.35,32.78,31.51,32.54,32.54,3212800,0,1,14.67,14.92,14.38,14.59,30.0486,29.7601,0.1473,0.3847,-0.2374,75.2181,94.6111,52.3226,6.0377,96.0239,48.3333,26.6667,26.0843,30.0486,34.0129,-2105121.9042,10393400
"502",502,2012-09-18,31.88,31.9,30.68,31.34,31.34,1788500,0,1,14.51,14.88,13.97,14.18,30.0078,29.8119,0.2883,0.4206,-0.1323,86.0331,86.2912,51.0548,6.3189,56.5194,46.6667,25,26.1491,30.0078,33.8665,-1958523.5436,8604900
"503",503,2012-09-19,31,31.74,30.94,31.05,31.05,1048500,0,1,13.95,14.08,13.61,13.88,29.9735,29.8525,0.3723,0.4036,-0.0314,85.4553,75.4636,50.7526,6.5908,56.6477,45,23.3333,26.1899,29.9735,33.7571,-2718686.0436,7556400
"504",504,2012-09-20,30.93,31.5,30.68,30.9,30.9,912400,0,1,14.63,14.67,14.07,14.07,29.9617,29.8868,0.4219,0.3626,0.0593,72.8947,56.9293,50.5951,6.8006,47.6987,43.3333,21.6667,26.1942,29.9617,33.7291,-3141505.5558,6644000
"505",505,2012-09-21,31.1,31.49,29.54,30.02,30.02,1870000,0,1,13.94,14.18,13.69,13.98,29.9293,29.8912,0.3857,0.2612,0.1246,56.8552,38.1728,49.6751,6.7804,17.8972,41.6667,20,26.1979,29.9293,33.6608,-4090890.1712,4774000
"506",506,2012-09-24,29.51,31.03,29.4,30.66,30.66,1301900,0,1,15.06,15.06,13.87,14.15,29.9168,29.9164,0.4041,0.2236,0.1805,43.3841,35.0503,50.3429,6.7344,19.5848,40,18.3333,26.2003,29.9168,33.6333,-3380036.7969,6075900
"507",507,2012-09-25,28.62,29.48,27.53,27.66,27.66,5680400,0,1,14.19,15.72,14.03,15.43,29.8563,29.8424,0.1745,-0.0047,0.1793,31.9969,22.7676,47.3479,6.6588,-80.6842,38.3333,16.6667,26.1131,29.8563,33.5995,-8303050.1303,395500
"508",508,2012-09-26,27.67,28.4,27.48,27.54,27.54,1527200,0,1,15.83,17.08,15.83,16.81,29.8087,29.7669,-0.0169,-0.1569,0.1401,25.3816,18.3268,47.2336,6.5939,-97.2312,36.6667,15,26.0218,29.8087,33.5956,-9631050.1303,-1131700
"509",509,2012-09-27,27.75,28.54,27.6,28.49,28.49,1758600,0,1,16.38,16.5,14.83,14.84,29.7725,29.7251,-0.0909,-0.1847,0.0939,17.0056,9.9225,48.2396,6.5053,-75.5569,35,13.3333,25.9774,29.7725,33.5676,-8059535.2367,626900
"510",510,2012-09-28,28.73,29.89,28.61,29.28,29.28,4343400,0,1,15.23,15.77,14.95,15.73,29.74,29.7105,-0.0848,-0.1429,0.0581,18.0146,25.7946,49.0609,6.3962,-24.646,33.3333,11.6667,25.962,29.74,33.518,-7855938.3617,4970300
